"ageID","sourceTypeID","survivalRate","relativeMAR","functioningACFraction","functioningACFractionCV"
"20","32","0.887799978","0.532612346","0.949999988","0"
"21","32","0.884800017","0.515058105","0.949999988","0"
"22","32","0.882799983","0.497943593","0.949999988","0"
"23","32","0.880100012","0.481147624","0.949999988","0"
"24","32","0.878499985","0.464481473","0.949999988","0"
"25","32","0.877200007","0.448127456","0.949999988","0"
"26","32","0.875199974","0.43233198","0.949999988","0"
"27","32","0.874599993","0.416928309","0.949999988","0"
"28","32","0.873000026","0.40168912","0.949999988","0"
"29","32","0.872200012","0.386760941","0.949999988","0"
"30","32","0.300000012","0.371414639","0.949999988","0"
"0","41","1","1","1","0"
"1","41","1","0.968127426","1","0"
"2","41","1","0.937582936","1","0"
"3","41","1","0.907038525","1","0"
"4","41","0.99000001","0.877822038","0.99000001","0"
"5","41","0.980000019","0.849933556","0.99000001","0"
"6","41","0.980000019","0.823373157","0.99000001","0"
"7","41","0.970000029","0.796812758","0.99000001","0"
"8","41","0.970000029","0.771580285","0.980000019","0"
"9","41","0.970000029","0.74634789","0.980000019","0"
"10","41","0.959999979","0.723771582","0.980000019","0"
"11","41","0.959999979","0.699867192","0.980000019","0"
"12","41","0.949999988","0.677290805","0.980000019","0"
"13","41","0.949999988","0.656042462","0.959999979","0"
"14","41","0.949999988","0.634794119","0.959999979","0"
"15","41","0.939999998","0.61487382","0.959999979","0"
"16","41","0.939999998","0.594953521","0.959999979","0"
"17","41","0.930000007","0.576361186","0.959999979","0"
"18","41","0.930000007","0.557768891","0.949999988","0"
"19","41","0.920000017","0.54050464","0.949999988","0"
"20","41","0.920000017","0.523240349","0.949999988","0"
"21","41","0.920000017","0.505976098","0.949999988","0"
"22","41","0.910000026","0.490039811","0.949999988","0"
"23","41","0.910000026","0.474103564","0.949999988","0"
"24","41","0.910000026","0.45949532","0.949999988","0"
"25","41","0.899999976","0.444887117","0.949999988","0"
"26","41","0.899999976","0.430278874","0.949999988","0"
"27","41","0.899999976","0.416998674","0.949999988","0"
"28","41","0.889999986","0.403718435","0.949999988","0"
"29","41","0.889999986","0.390438236","0.949999988","0"
"30","41","0.300000012","0.37848604","0.949999988","0"
"0","42","1","1","1","0"
"1","42","1","0.968127426","1","0"
"2","42","1","0.937582936","1","0"
"3","42","1","0.907038525","1","0"
"4","42","0.99000001","0.877822038","0.99000001","0"
