"countyID","sourceTypeID","yearID","ageID","ageFraction"
"49003","11","2027","30","0.075"
"49003","11","2028","0","0.0557892"
"49003","11","2028","1","0.0568913"
"49003","11","2028","2","0.056139"
"49003","11","2028","3","0.0526885"
"49003","11","2028","4","0.0490309"
"49003","11","2028","5","0.0448309"
"49003","11","2028","6","0.0491699"
"49003","11","2028","7","0.0246082"
"49003","11","2028","8","0.0194855"
"49003","11","2028","9","0.0201814"
"49003","11","2028","10","0.0167019"
"49003","11","2028","11","0.0222692"
"49003","11","2028","12","0.0250528"
"49003","11","2028","13","0.0292283"
"49003","11","2028","14","0.0278365"
"49003","11","2028","15","0.0222692"
"49003","11","2028","16","0.0194855"
"49003","11","2028","17","0.0173978"
"49003","11","2028","18","0.0139182"
"49003","11","2028","19","0.0299242"
"49003","11","2028","20","0.0424506"
"49003","11","2028","21","0.0487138"
"49003","11","2028","22","0.0340997"
"49003","11","2028","23","0.0347956"
"49003","11","2028","24","0.0187896"
"49003","11","2028","25","0.0271406"
"49003","11","2028","26","0.0201814"
"49003","11","2028","27","0.0187896"
"49003","11","2028","28","0.016006"
"49003","11","2028","29","0.0111346"
"49003","11","2028","30","0.075"
"49003","11","2029","0","0.0557539"
"49003","11","2029","1","0.0559565"
"49003","11","2029","2","0.0559134"
"49003","11","2029","3","0.0530693"
"49003","11","2029","4","0.0498075"
"49003","11","2029","5","0.0463499"
"49003","11","2029","6","0.0423795"
"49003","11","2029","7","0.0464813"
"49003","11","2029","8","0.0232627"
"49003","11","2029","9","0.0184201"
"49003","11","2029","10","0.0190779"
"49003","11","2029","11","0.0157886"
"49003","11","2029","12","0.0210515"
"49003","11","2029","13","0.0236829"
"49003","11","2029","14","0.0276301"
"49003","11","2029","15","0.0263144"
"49003","11","2029","16","0.0210515"
"49003","11","2029","17","0.0184201"
"49003","11","2029","18","0.0164465"
"49003","11","2029","19","0.0131572"
"49003","11","2029","20","0.028288"
"49003","11","2029","21","0.0401294"
"49003","11","2029","22","0.0460502"
"49003","11","2029","23","0.0322351"
"49003","11","2029","24","0.032893"
"49003","11","2029","25","0.0177622"
"49003","11","2029","26","0.0256565"
"49003","11","2029","27","0.0190779"
"49003","11","2029","28","0.0177622"
"49003","11","2029","29","0.0151308"
"49003","11","2029","30","0.075"
"49003","11","2030","0","0.0552566"
"49003","11","2030","1","0.0561983"
"49003","11","2030","2","0.0552679"
"49003","11","2030","3","0.0531196"
"49003","11","2030","4","0.0504176"
"49003","11","2030","5","0.0473188"
"49003","11","2030","6","0.0440339"
"49003","11","2030","7","0.0402619"
"49003","11","2030","8","0.0441587"
"49003","11","2030","9","0.0221003"
"49003","11","2030","10","0.0174997"
"49003","11","2030","11","0.0181247"
"49003","11","2030","12","0.0149997"
"49003","11","2030","13","0.0199996"
"49003","11","2030","14","0.0224996"
"49003","11","2030","15","0.0262495"
"49003","11","2030","16","0.0249995"
"49003","11","2030","17","0.0199996"
"49003","11","2030","18","0.0174997"
"49003","11","2030","19","0.0156247"
"49003","11","2030","20","0.0124998"
"49003","11","2030","21","0.0268745"
"49003","11","2030","22","0.0381243"
"49003","11","2030","23","0.0437492"
"49003","11","2030","24","0.0306244"
"49003","11","2030","25","0.0312494"
"49003","11","2030","26","0.0168747"
"49003","11","2030","27","0.0243745"
"49003","11","2030","28","0.0181247"
"49003","11","2030","29","0.0168747"
"49003","11","2030","30","0.075"
"49003","11","2031","0","0.0548565"
"49003","11","2031","1","0.0558351"
"49003","11","2031","2","0.0556425"
"49003","11","2031","3","0.0526313"
"49003","11","2031","4","0.0505855"
"49003","11","2031","5","0.0480125"
"49003","11","2031","6","0.0450615"
"49003","11","2031","7","0.0419333"
"49003","11","2031","8","0.0383413"
"49003","11","2031","9","0.0420522"
"49003","11","2031","10","0.021046"
"49003","11","2031","11","0.0166649"
"49003","11","2031","12","0.01726"
"49003","11","2031","13","0.0142842"
"49003","11","2031","14","0.0190456"
"49003","11","2031","15","0.0214262"
"49003","11","2031","16","0.0249973"
"49003","11","2031","17","0.0238069"
"49003","11","2031","18","0.0190456"
"49003","11","2031","19","0.0166649"
"49003","11","2031","20","0.0148793"
"49003","11","2031","21","0.0119035"
"49003","11","2031","22","0.0255925"
"49003","11","2031","23","0.0363056"
"49003","11","2031","24","0.0416622"
"49003","11","2031","25","0.0291635"
"49003","11","2031","26","0.0297587"
"49003","11","2031","27","0.0160697"
"49003","11","2031","28","0.0232118"
"49003","11","2031","29","0.01726"
"49003","11","2031","30","0.075"
"49003","11","2032","0","0.0545399"
"49003","11","2032","1","0.0554741"
"49003","11","2032","2","0.0553271"
"49003","11","2032","3","0.0530323"
"49003","11","2032","4","0.0501624"
"49003","11","2032","5","0.0482126"
"49003","11","2032","6","0.0457602"
"49003","11","2032","7","0.0429477"
"49003","11","2032","8","0.0399662"
"49003","11","2032","9","0.0365427"
"49003","11","2032","10","0.0400795"
"49003","11","2032","11","0.0200588"
"49003","11","2032","12","0.0158831"
"49003","11","2032","13","0.0164504"
"49003","11","2032","14","0.0136141"
"49003","11","2032","15","0.0181521"
"49003","11","2032","16","0.0204211"
"49003","11","2032","17","0.0238247"
"49003","11","2032","18","0.0226902"
"49003","11","2032","19","0.0181521"
"49003","11","2032","20","0.0158831"
"49003","11","2032","21","0.0141814"
"49003","11","2032","22","0.0113451"
"49003","11","2032","23","0.0243919"
"49003","11","2032","24","0.0346025"
"49003","11","2032","25","0.0397078"
"49003","11","2032","26","0.0277954"
"49003","11","2032","27","0.0283627"
"49003","11","2032","28","0.0153159"
"49003","11","2032","29","0.0221229"
"49003","11","2032","30","0.075"
"49003","11","2033","0","0.0542062"
"49003","11","2033","1","0.0554723"
"49003","11","2033","2","0.0552866"
"49003","11","2033","3","0.0530363"
"49003","11","2033","4","0.0508365"
"49003","11","2033","5","0.0480855"
"49003","11","2033","6","0.0462164"
"49003","11","2033","7","0.0438655"
"49003","11","2033","8","0.0411694"
"49003","11","2033","9","0.0383114"
"49003","11","2033","10","0.0350296"
"49003","11","2033","11","0.03842"
"49003","11","2033","12","0.0192282"
"49003","11","2033","13","0.0152255"
"49003","11","2033","14","0.0157692"
"49003","11","2033","15","0.0130504"
"49003","11","2033","16","0.0174005"
"49003","11","2033","17","0.0195756"
"49003","11","2033","18","0.0228382"
"49003","11","2033","19","0.0217507"
"49003","11","2033","20","0.0174005"
"49003","11","2033","21","0.0152255"
"49003","11","2033","22","0.0135942"
"49003","11","2033","23","0.0108753"
"49003","11","2033","24","0.023382"
"49003","11","2033","25","0.0331698"
"49003","11","2033","26","0.0380637"
"49003","11","2033","27","0.0266446"
"49003","11","2033","28","0.0271884"
"49003","11","2033","29","0.0146817"
"49003","11","2033","30","0.075"
"49003","11","2034","0","0.0542112"
"49003","11","2034","1","0.0546985"
"49003","11","2034","2","0.0548444"
"49003","11","2034","3","0.0525664"
"49003","11","2034","4","0.0504267"
"49003","11","2034","5","0.0483352"
