,COUNTY_FIPS,roadTypeID,sourceTypeID,Year_ID,VMT_Jan_veh,VMT_Jul_veh,VMT_Jan_veh_road,VMT_Jul_veh_road,Jan_roadVMTFraction,Jul_roadVMTFraction
0,49,4,11,2050,60064.97015,68678.23402,27947.8244,31861.5343,0.4652932371431471,0.4639247755077905
1,49,4,21,2050,7800983.696489999,8919663.466909999,3628721.21764,4136873.90783,0.46516200505235245,0.463792599707029
2,49,4,31,2050,14484882.57085,16562045.12901,6737734.413720001,7681261.80609,0.4651563021490631,0.46378703513103814
3,49,4,32,2050,1461863.6561,1671497.5689599998,679982.7188800001,775204.98236,0.46514783785929575,0.4637787076425902
4,49,4,41,2050,78541.87573,90505.93966999999,42164.76116,48069.35827,0.5368443364524165,0.5311182718534168
5,49,4,42,2050,29129.7538,33565.59109,15675.08412,17870.16489,0.5381124820903911,0.5323953581536645
6,49,4,43,2050,36839.97548,42450.550989999996,19806.50164,22580.13083,0.5376361243984193,0.5319160836173636
7,49,4,51,2050,13375.79455,15412.645190000001,7169.224520000001,8173.17619,0.5359849460307388,0.5302902966521867
8,49,4,52,2050,822877.88092,948229.49081,441940.16236,503827.82717,0.5370665230008356,0.531335327632152
9,49,4,53,2050,54093.064040000005,62333.24771,29041.434920000003,33108.289990000005,0.5368790885745507,0.5311497668793617
10,49,4,54,2050,57667.86311,66452.83227,30985.631400000002,35324.74455,0.5373119399429747,0.5315762074139208
11,49,4,61,2050,422217.01468,486533.4587,226741.91448,258494.01306,0.5370269472722425,0.531297505726917
12,49,4,62,2050,490321.88409999997,565012.84467,263317.11075999995,300191.06447,0.5370290808931079,0.531299540004845
13,49,5,11,2050,60064.97015,68678.23402,20632.02324,24160.99584,0.343495105191524,0.3517998997027792
14,49,5,21,2050,7800983.696489999,8919663.466909999,2680534.17726,3139022.01216,0.34361489288409724,0.35192157459808715
15,49,5,31,2050,14484882.57085,16562045.12901,4977204.13266,5828522.338559999,0.3436137026527463,0.3519204478166037
16,49,5,32,2050,1461863.6561,1671497.5689599998,502317.37282999995,588235.4732799999,0.3436143793122924,0.351921225734117
17,49,5,41,2050,78541.87573,90505.93966999999,34024.740079999996,39844.44928,0.4332050866338534,0.44024126400189445
18,49,5,42,2050,29129.7538,33565.59109,12578.29487,14729.72992,0.43180230620418086,0.4388342180688825
19,49,5,43,2050,36839.97548,42450.550989999996,15926.47408,18650.59328,0.4323150021814292,0.4393486738109357
20,49,5,51,2050,13375.79455,15412.645190000001,5791.44512,6782.033920000001,0.4329795212053403,0.44003049680273604
21,49,5,52,2050,822877.88092,948229.49081,356445.34887,417412.99392000004,0.4331691945243252,0.440202501573154
22,49,5,53,2050,54093.064040000005,62333.24771,23437.25447,27446.04352,0.43327651864329475,0.44031146343746314
23,49,5,54,2050,57667.86311,66452.83227,24975.607079999998,29247.521279999997,0.43309402729835256,0.4401245256359635
24,49,5,61,2050,422217.01468,486533.4587,182882.97793,214163.91488,0.4331492374096002,0.4401833235729323
25,49,5,62,2050,490321.88409999997,565012.84467,212383.15151000003,248709.90016000002,0.43315046380162175,0.4401845064341164
26,49,55,11,2050,60064.97015,68678.23402,11485.12251,12655.703880000001,0.1912116576653289,0.1842753247894303
27,49,55,21,2050,7800983.696489999,8919663.466909999,1491728.3015899998,1643767.5469199999,0.1912231020635504,0.1842858256948839
28,49,55,31,2050,14484882.57085,16562045.12901,2769944.02447,3052260.98436,0.1912299951981906,0.18429251705235813
29,49,55,32,2050,1461863.6561,1671497.5689599998,279563.56439,308057.11332,0.1912377828284119,0.18430006662329285
30,49,55,41,2050,78541.87573,90505.93966999999,2352.37449,2592.13212,0.029950576913730147,0.028640464144688776
31,49,55,42,2050,29129.7538,33565.59109,876.37481,965.69628,0.030085211705428147,0.02877042377745298
32,49,55,43,2050,36839.97548,42450.550989999996,1106.99976,1219.82688,0.030048873420151362,0.028735242571700723
33,49,55,51,2050,13375.79455,15412.645190000001,415.12491,457.43508,0.031035532763920928,0.02967920654507716
34,49,55,52,2050,822877.88092,948229.49081,24492.36969,26988.669719999998,0.02976428247483923,0.028462170794694056
35,49,55,53,2050,54093.064040000005,62333.24771,1614.37465,1778.9142,0.02984439278215455,0.02853876968317523
36,49,55,54,2050,57667.86311,66452.83227,1706.62463,1880.56644,0.029594032758672825,0.028299266950115805
37,49,55,61,2050,422217.01468,486533.4587,12592.12227,13875.53076,0.029823815318157226,0.028519170700150656
38,49,55,62,2050,490321.88409999997,565012.84467,14621.62183,16111.88004,0.029820455305270353,0.028515953561038535
