"sourceTypeID","yearID","ageID","ageFraction"
"11","1990","0","0.0513871570119324"
"11","1990","1","0.0509949630315563"
"11","1990","2","0.0636506316334354"
"11","1990","3","0.0793562496374298"
"11","1990","4","0.0737899015014771"
"11","1990","5","0.079332354071943"
"11","1990","6","0.0754064538218551"
"11","1990","7","0.0551975949272056"
"11","1990","8","0.0424264567240031"
"11","1990","9","0.0475070419382503"
"11","1990","10","0.0424722455834339"
"11","1990","11","0.0341585629949394"
"11","1990","12","0.0356546693500247"
"11","1990","13","0.0326505124903651"
"11","1990","14","0.029870327246915"
"11","1990","15","0.0272812606388593"
"11","1990","16","0.0248584271633265"
"11","1990","17","0.0225839103970005"
"11","1990","18","0.0204387969117543"
"11","1990","19","0.0184101486390655"
"11","1990","20","0.0164850203434442"
"11","1990","21","0.0146544575957986"
"11","1990","22","0.0129085047814948"
"11","1990","23","0.0112401943140955"
"11","1990","24","0.00964255751221008"
"11","1990","25","0.0081106178127867"
"11","1990","26","0.0066393990509385"
"11","1990","27","0.00522292765880273"
"11","1990","28","0.0038582173999247"
"11","1990","29","0.00254128732248664"
"11","1990","30","0.00126915049324537"
"11","1999","0","0.136373803180588"
"11","1999","1","0.102442121127143"
"11","1999","2","0.0855524130636457"
"11","1999","3","0.076581988119178"
"11","1999","4","0.063728010125524"
"11","1999","5","0.0522220186722009"
"11","1999","6","0.0466767576707572"
"11","1999","7","0.0336447887165148"
"11","1999","8","0.0282114441156998"
"11","1999","9","0.0266073794633056"
"11","1999","10","0.0251063219519688"
"11","1999","11","0.02382253754176"
"11","1999","12","0.022604351544337"
"11","1999","13","0.0213852320200671"
"11","1999","14","0.0202385674503955"
"11","1999","15","0.0190875952449108"
"11","1999","16","0.0180678176452985"
"11","1999","17","0.0171667079511477"
"11","1999","18","0.0165729983674703"
"11","1999","19","0.015978259361965"
"11","1999","20","0.014756304007121"
"11","1999","21","0.0133031756515475"
"11","1999","22","0.0114091392829176"
"11","1999","23","0.00959158376207485"
"11","1999","24","0.00801245045040706"
"11","1999","25","0.00675597575193579"
"11","1999","26","0.00548236863864639"
"11","1999","27","0.00443290667220108"
"11","1999","28","0.00377572953371911"
"11","1999","29","0.00315629504203474"
"11","1999","30","0.0672529578735167"
"11","2000","0","0.146432983561611"
"11","2000","1","0.120201894074638"
"11","2000","2","0.0886636280793751"
"11","2000","3","0.0715169205693294"
"11","2000","4","0.0640182065543826"
"11","2000","5","0.0532729812181333"
"11","2000","6","0.04365462374982"
"11","2000","7","0.0390191265194388"
"11","2000","8","0.0281250923702217"
"11","2000","9","0.023583159318965"
"11","2000","10","0.0222422706149017"
"11","2000","11","0.0209874711435806"
"11","2000","12","0.0199143003956722"
"11","2000","13","0.0188959654742137"
"11","2000","14","0.0178768498379528"
"11","2000","15","0.0169183028586234"
"11","2000","16","0.0159561545463193"
"11","2000","17","0.0151036782651906"
"11","2000","18","0.0143504016419029"
"11","2000","19","0.0138540952521706"
"11","2000","20","0.0133569267535034"
"11","2000","21","0.0123354373338788"
"11","2000","22","0.0111207022510721"
"11","2000","23","0.00953739169987426"
"11","2000","24","0.00801801748682025"
"11","2000","25","0.00669795170934998"
"11","2000","26","0.00564761088708171"
"11","2000","27","0.00458294659614099"
"11","2000","28","0.00370565632028408"
"11","2000","29","0.00315629504203474"
"11","2000","30","0.0672529578735167"
"11","2001","0","0.1409675535421"
"11","2001","1","0.124724383498801"
"11","2001","2","0.102382036950982"
"11","2001","3","0.0755192995594072"
"11","2001","4","0.0609145809283421"
"11","2001","5","0.0545275466700764"
"11","2001","6","0.0453752944040731"
"11","2001","7","0.0371828525352524"
"11","2001","8","0.0332345649281339"
"11","2001","9","0.0239555646644788"
"11","2001","10","0.020086970404276"
"11","2001","11","0.0189448676287464"
"11","2001","12","0.0178760914099698"
"11","2001","13","0.0169620175676821"
"11","2001","14","0.0160946501741824"
"11","2001","15","0.0152266178063713"
"11","2001","16","0.0144101748292248"
"11","2001","17","0.0135906644145097"
"11","2001","18","0.0128645672195673"
"11","2001","19","0.0122229633939914"
"11","2001","20","0.0118002341223459"
"11","2001","21","0.0113767705488867"
"11","2001","22","0.0105067163096408"
"11","2001","23","0.00947206495833713"
"11","2001","24","0.00812347922592798"
"11","2001","25","0.00682935130872"
"11","2001","26","0.00570498447367855"
"11","2001","27","0.00481035603454746"
"11","2001","28","0.0039035275721956"
"11","2001","29","0.00315629504203474"
"11","2001","30","0.0672529578735167"
"11","2002","0","0.151621777899254"
"11","2002","1","0.132699888738052"
"11","2002","2","0.111613249440654"
"11","2002","3","0.0827834992729899"
"11","2002","4","0.0610629731868805"
"11","2002","5","0.0492540085613888"
"11","2002","6","0.044089647364413"
"11","2002","7","0.0366893387125204"
"11","2002","8","0.0300651295734274"
"11","2002","9","0.0268726601798674"
"11","2002","10","0.0193698526114034"
"11","2002","11","0.0162418275015617"
"11","2002","12","0.0153183646241689"
"11","2002","13","0.014454177908425"
"11","2002","14","0.013715080293129"
"11","2002","15","0.0130137478365833"
"11","2002","16","0.012311877448457"
"11","2002","17","0.0116517212928343"
"11","2002","18","0.0109890845925035"
"11","2002","19","0.0104019801135035"
"11","2002","20","0.00988319492204705"
"11","2002","21","0.00954138721034891"
"11","2002","22","0.00919898460468615"
"11","2002","23","0.00849547703413733"
"11","2002","24","0.00765888162571954"
"11","2002","25","0.00656844553725403"
"11","2002","26","0.005522044683921"
"11","2002","27","0.00461290922160665"
"11","2002","28","0.00388953509271059"
"11","2002","29","0.00315629504203474"
"11","2002","30","0.0672529578735167"
