"Index","Year","GeoID_WFRC","County_FIPS","GeoID_text","roadType","dummy","veh_11","veh_21","veh_31","veh_32","veh_41","veh_42","veh_43","veh_51","veh_52","veh_53","veh_54","veh_61","veh_62","Total"
" BV_2009","2009","0","1","BV","5","2009","0.00252","0.44547","0.4077","0.03329","0.00186","0.00058","0.00101","0.00054","0.02618","0.00166","0.00188","0.01735","0.05996","1"
" BV_2009","2009","0","1","BV","55","2009","0.0028","0.49483","0.45289","0.03698","0.00021","0.00007","0.00011","0.00006","0.00295","0.00019","0.00021","0.00195","0.00675","1"
" BV_2010","2010","0","1","BV","4","2010","0.00186","0.36786","0.34463","0.02816","0.00399","0.00132","0.00227","0.00111","0.05542","0.00351","0.00402","0.04148","0.14437","1"
" BV_2010","2010","0","1","BV","5","2010","0.00223","0.44042","0.41261","0.03372","0.00172","0.00057","0.00098","0.00048","0.0239","0.00151","0.00173","0.01788","0.06225","1"
" BV_2010","2010","0","1","BV","55","2010","0.00247","0.48926","0.45833","0.03746","0.00019","0.00006","0.00011","0.00005","0.00269","0.00017","0.00019","0.00201","0.00701","1"
" BV_2011","2011","0","1","BV","4","2011","0.00185","0.34724","0.36364","0.02979","0.00431","0.00139","0.00243","0.00106","0.05571","0.00352","0.00396","0.04164","0.14346","1"
" BV_2011","2011","0","1","BV","5","2011","0.00222","0.41573","0.43537","0.03566","0.00186","0.0006","0.00105","0.00046","0.02402","0.00152","0.00171","0.01795","0.06185","1"
" BV_2011","2011","0","1","BV","55","2011","0.00246","0.46182","0.48362","0.03961","0.00021","0.00007","0.00012","0.00005","0.0027","0.00017","0.00019","0.00202","0.00696","1"
" BV_2012","2012","0","1","BV","4","2012","0.00211","0.3086","0.399","0.03281","0.00462","0.00152","0.00253","0.00102","0.05654","0.00356","0.00401","0.04219","0.14149","1"
" BV_2012","2012","0","1","BV","5","2012","0.00252","0.36948","0.4777","0.03928","0.00199","0.00066","0.00109","0.00044","0.02438","0.00153","0.00173","0.01819","0.06101","1"
" BV_2012","2012","0","1","BV","55","2012","0.0028","0.41045","0.53064","0.04363","0.00022","0.00007","0.00012","0.00005","0.00274","0.00017","0.00019","0.00205","0.00687","1"
" BV_2013","2013","0","1","BV","4","2013","0.002","0.31337","0.39454","0.03259","0.00461","0.00155","0.00256","0.00096","0.05595","0.00351","0.00394","0.04361","0.14081","1"
" BV_2013","2013","0","1","BV","5","2013","0.00239","0.37521","0.47237","0.03902","0.00199","0.00067","0.0011","0.00041","0.02412","0.00151","0.0017","0.0188","0.06071","1"
" BV_2013","2013","0","1","BV","55","2013","0.00266","0.41677","0.52471","0.04335","0.00022","0.00008","0.00012","0.00005","0.00272","0.00017","0.00019","0.00212","0.00684","1"
" BV_2014","2014","0","1","BV","4","2014","0.00193","0.30929","0.39827","0.03303","0.0047","0.00167","0.00272","0.00092","0.05683","0.00355","0.00399","0.04475","0.13835","1"
" BV_2014","2014","0","1","BV","5","2014","0.00231","0.37029","0.47683","0.03954","0.00203","0.00072","0.00117","0.0004","0.02451","0.00153","0.00172","0.0193","0.05965","1"
" BV_2014","2014","0","1","BV","55","2014","0.00257","0.41134","0.52967","0.04393","0.00023","0.00008","0.00013","0.00004","0.00276","0.00017","0.00019","0.00217","0.00672","1"
" BV_2015","2015","0","1","BV","4","2015","0.00185","0.30332","0.40372","0.03364","0.00479","0.00173","0.0027","0.00086","0.05715","0.00357","0.00391","0.04619","0.13657","1"
" BV_2015","2015","0","1","BV","5","2015","0.00221","0.36313","0.48336","0.04028","0.00207","0.00075","0.00116","0.00037","0.02464","0.00154","0.00169","0.01991","0.05889","1"
" BV_2015","2015","0","1","BV","55","2015","0.00246","0.4034","0.53692","0.04474","0.00023","0.00008","0.00013","0.00004","0.00277","0.00017","0.00019","0.00224","0.00663","1"
" BV_2016","2016","0","1","BV","4","2016","0.00188","0.29736","0.40901","0.03427","0.00483","0.00171","0.00254","0.00082","0.05797","0.00363","0.00389","0.04828","0.13381","1"
" BV_2016","2016","0","1","BV","5","2016","0.00225","0.35602","0.48969","0.04103","0.00208","0.00074","0.0011","0.00035","0.02499","0.00156","0.00168","0.02082","0.05769","1"
" BV_2016","2016","0","1","BV","55","2016","0.0025","0.39548","0.54395","0.04558","0.00023","0.00008","0.00012","0.00004","0.00281","0.00018","0.00019","0.00234","0.0065","1"
" BV_2017","2017","0","1","BV","4","2017","0.00183","0.28855","0.41693","0.0352","0.00499","0.00173","0.00255","0.00076","0.05762","0.00361","0.00381","0.05005","0.13237","1"
" BV_2017","2017","0","1","BV","5","2017","0.00219","0.34551","0.49916","0.04214","0.00215","0.00074","0.0011","0.00033","0.02484","0.00155","0.00164","0.02158","0.05707","1"
" BV_2017","2017","0","1","BV","55","2017","0.00243","0.38377","0.55448","0.04681","0.00024","0.00008","0.00012","0.00004","0.0028","0.00018","0.00019","0.00243","0.00643","1"
" BV_2018","2018","0","1","BV","4","2018","0.00187","0.29153","0.40851","0.03381","0.00508","0.00176","0.0026","0.00078","0.05563","0.00347","0.00384","0.05349","0.13763","1"
" BV_2018","2018","0","1","BV","5","2018","0.00225","0.35087","0.49165","0.04069","0.0022","0.00076","0.00113","0.00034","0.02411","0.0015","0.00166","0.02319","0.05965","1"
" BV_2018","2018","0","1","BV","55","2018","0.0025","0.39112","0.54807","0.04536","0.00025","0.00009","0.00013","0.00004","0.00272","0.00017","0.00019","0.00262","0.00674","1"
" BV_2019","2019","0","1","BV","4","2019","0.00186","0.31256","0.41088","0.0342","0.00548","0.00196","0.00282","0.00081","0.05335","0.00331","0.00386","0.04799","0.12092","1"
" BV_2019","2019","0","1","BV","5","2019","0.0022","0.36942","0.4856","0.04042","0.00233","0.00083","0.0012","0.00035","0.02271","0.00141","0.00164","0.02042","0.05147","1"
" BV_2019","2019","0","1","BV","55","2019","0.00242","0.40684","0.5348","0.04452","0.00026","0.00009","0.00013","0.00004","0.00253","0.00016","0.00018","0.00228","0.00575","1"
" BV_2020","2020","0","1","BV","4","2020","0.00183","0.32706","0.40084","0.03358","0.00526","0.00194","0.00274","0.0008","0.05157","0.00319","0.00374","0.04875","0.1187","1"
" BV_2020","2020","0","1","BV","5","2020","0.00216","0.38542","0.47239","0.03957","0.00223","0.00082","0.00116","0.00034","0.02189","0.00136","0.00159","0.02069","0.05038","1"
